10 | 
 | + 1534
13 |  | + 1534
32 |   | + 11576
33 | ! | + 9
34 | " | + 22
35 | # | + 1
36 | $ | + 2
37 | % | + 1
38 | & | + 2
39 | ' | + 651
40 | ( | + 41
41 | ) | + 41
42 | * | + 37
44 | , | + 926
45 | - | + 234
46 | . | + 701
47 | / | + 26
48 | 0 | + 51
49 | 1 | + 129
50 | 2 | + 37
51 | 3 | + 34
52 | 4 | + 27
53 | 5 | + 26
54 | 6 | + 15
55 | 7 | + 54
56 | 8 | + 46
57 | 9 | + 37
58 | : | + 59
59 | ; | + 87
63 | ? | + 20
64 | @ | + 1
65 | A | + 184
66 | B | + 77
67 | C | + 150
68 | D | + 88
69 | E | + 245
70 | F | + 91
71 | G | + 153
72 | H | + 39
73 | I | + 262
74 | J | + 30
75 | K | + 6
76 | L | + 324
77 | M | + 148
78 | N | + 110
79 | O | + 123
80 | P | + 167
81 | Q | + 18
82 | R | + 164
83 | S | + 191
84 | T | + 167
85 | U | + 78
86 | V | + 102
87 | W | + 14
88 | X | + 24
89 | Y | + 31
90 | Z | + 1
91 | [ | + 16
93 | ] | + 16
95 | _ | + 130
97 | a | + 3970
98 | b | + 555
99 | c | + 1830
100 | d | + 2123
101 | e | + 7953
102 | f | + 735
103 | g | + 723
104 | h | + 789
105 | i | + 3991
106 | j | + 195
107 | k | + 130
108 | l | + 2920
109 | m | + 1557
110 | n | + 3862
111 | o | + 3499
112 | p | + 1506
113 | q | + 460
114 | r | + 3803
115 | s | + 4134
116 | t | + 4390
117 | u | + 2912
118 | v | + 665
119 | w | + 269
120 | x | + 155
121 | y | + 405
122 | z | + 30
200 | È | + 2
201 | É | + 6
224 | à | + 170
226 | â | + 26
231 | ç | + 17
232 | è | + 162
233 | é | + 1036
234 | ê | + 80
238 | î | + 24
239 | ï | + 10
244 | ô | + 18
249 | ù | + 14
251 | û | + 14
