Nom;Brasserie;Pays;Note;Type;Fermentation;°Alc;Bouteille;Ville;Appréciation;Observations;Nom;;
1664 Kronenbourg;Kronenbourg;France;12;Pils;basse;5,9;25 ou 33 cl;Strasbourg;Blonde, cristalline, mousse serrée typique des  pils . Arôme doux et assez neutre. Bon cachet de  malt , bière à peine douce, légère post-amertume. Bière correcte pour se rafraîchir.;;1664 Kronenbourg;;
3 monts;de St Sylvestre;France;15;Spéciale;haute;8;75 cl;St Sylvestre Cappel;Bière dorée, limpide, mousse blanche serrée assez stable, fine saturation. Nez doux de  malt  et de  houblon  aromatique, assez classique. Bouche bien charpentée, goût doux à l'amertume bien balancée et durable, corps ferme, bouche aux tons liquoreux. Bonne bière des Flandres, typée et capiteuse.;Véritable bière de  Flandres , de la brasserie de St Sylvestre.;3 monts;;
33 export;Française de brasserie;France;11;Pils;basse;4,8;25 cl;Paris;Une  pils  classique, assez moelleuse, correcte sans être fabuleuse. Représentante typique des  pils  françaises, rafraîchissante.;;33 export;;
Abbaye d'Aulne 'Superbe';De smedt;Belgique;14;Abbaye;haute;10;33 cl;Opwijk; Abbaye  rouge foncée, cristalline, bien  saturée  en bulles moyennes. Mousse beige claire fine, de durée moyenne. Arôme puissant et caramélisé aux tons liquoreux très riches. Saveur puissante et sucrée, bien maltée, peu amère et faiblement épicée et âcre Flandres, typée et capiteuse.;Abbaye d'aulne. Bière forte et sucrée, mais peu épicée. Filtrée.;Abbaye d'Aulne 'Superbe';;
Abbaye de Gembloux;Lefebvre;Belgique;14,5;Abbaye;haute;8;25 cl;Quenast;Abbaye dorée-orangée, sur  levure  en petits paquets, bien saturée en bulles fines, mousse serrée de durée moyenne. Arôme doux, nez aromatique de levure Bouche fine et fruitée, peu amère, dominance de  malt  et levure, acreté peu développée, astrigence faible. Equilibre de rondeur et douceur maltées.;;Abbaye de Gembloux;;
Abbaye de Vaucelles;La choulette;France;16;Abbaye;haute;7,5;75 cl;Hordain;Dorée, limpide (sur lie), belle mousse serrée et abondante, moyennement  saturée . Nez riche aux tons liquoreux et épicés, doux et bien malté. Bouche ronde, moelleuse et douce, épicée, légèrement piquante, riche, arrière goût assez tenace sans excès. Très bonne bière d' abbaye  ronde et épicée.;Bière de l'ancienne  abbaye  cistercienne de Vaucelles.;Abbaye de Vaucelles;;
Abbaye des Rocs;Eloir Bertiau;Belgique;15;Abbaye;haute;9;37.5 ou 75 cl;Montignies sur Roc;De couleur marron-rougeâtre, troublée par la levure, bien saturée, mousse beige crémeuse subsistant sur 3 à 4 mm. Nez puissant, doux mais assez complexe, épicé, fort. Saveur sucrée et dense, nuances épicées, levure acre, amertume équilibrée. Corps marqué, aux tons alcoolisés profonds.;Bonne bière d'abbaye belge, forte et capiteuse.;Abbaye des Rocs;;
Abbaye Dieleghem;;Belgique;;Abbaye;Haute;6,5;33 cl;;;;Abbaye Dieleghem;;
Abbot Ale;;Angleterre;14;Pale Ale;Basse;5;33 cl;Bury St Edmonds;Bière blonde.;;;;
Abdij Steenbrugge;De gouden boom;Belgique;14,5;Abbaye;haute;6,5;33 cl;Bruges;Couleur brun-rouge, limpide, saturation et bulles moyennes, mousse beige de durée moyenne, moyennement serrée. Nez très aromatique, fin et piquant, doux et profond. Saveur oscillant entre l'acre picotant et le caramélisé, bonne bouche peu amère. Corps moyen rattrapé par sa finesse de goût.;Abbaye fine et assez légère. Fragrances délicates et profondes.;Abdij Steenbrugge;;
